"COMPANY NAME","AUDITED / UNAUDITED","CUMULATIVE / NON-CUMULATIVE","CONSOLIDATED / NON-CONSOLIDATED","IND AS/ NON IND AS","PERIOD","PERIOD ENDED","RELATING TO","** XBRL","Exchange Received Time","Exchange Dissemination Time","Time Taken"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","31-Dec-2024","Third Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117409_1353529_20012025062946.xml","20-Jan-2025 18:29:47","20-Jan-2025 18:30:33","00:00:46"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","31-Dec-2024","Third Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117408_1353522_20012025062858.xml","20-Jan-2025 18:28:59","20-Jan-2025 18:29:27","00:00:28"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","30-Sep-2024","Second Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_113034_1285254_22102024070105.xml","22-Oct-2024 19:01:05","22-Oct-2024 19:01:37","00:00:32"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","30-Sep-2024","Second Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_113033_1285249_22102024070001.xml","22-Oct-2024 19:00:01","22-Oct-2024 19:00:31","00:00:30"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","30-Jun-2024","First Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_110123_1209741_01082024070623.xml","01-Aug-2024 19:06:23","01-Aug-2024 19:06:33","00:00:10"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","30-Jun-2024","First Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_110122_1209731_01082024065942.xml","01-Aug-2024 18:59:42","01-Aug-2024 18:59:58","00:00:16"
"Zomato Limited","Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","31-Mar-2024","Fourth Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105795_1122859_13052024092656.xml","13-May-2024 21:26:56","13-May-2024 21:27:01","00:00:05"
"Zomato Limited","Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","31-Mar-2024","Fourth Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105794_1122856_13052024092606.xml","13-May-2024 21:26:06","13-May-2024 21:26:13","00:00:07"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","31-Dec-2023","Third Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102849_1048686_08022024063603.xml","08-Feb-2024 18:36:03",,"::"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","31-Dec-2023","Third Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102847_1048667_08022024063330.xml","08-Feb-2024 18:33:31",,"::"
